Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season
Alaa Abdelnaby,PF,25,BOS,13,159,9.2,.485,.000,.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,,-0.2,0.1,-0.1,-0.032,,-5.3,-2.2,-7.4,-0.2,1994/1995
Mahmoud Abdul-Rauf,PG,24,DEN,80,2617,16.7,.521,.104,.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,,4.4,2.4,6.8,.125,,1.5,-0.7,0.8,1.9,1994/1995
Michael Adams,PG,31,WSB,70,2337,14.2,.520,.274,.387,1.8,7.4,4.6,29.8,2.1,0.2,17.0,18.1,,2.9,0.2,3.1,.063,,0.5,-1.5,-1.0,0.6,1994/1995
Mark Aguirre,SF,34,LAC,39,859,13.1,.544,.267,.207,3.5,10.8,7.2,18.5,1.2,0.6,15.6,21.6,,0.6,0.3,0.9,.050,,-0.5,-1.4,-1.8,0.0,1994/1995
Danny Ainge,SG,34,PHO,68,1555,11.8,.524,.454,.175,2.0,7.4,4.7,15.9,1.8,0.3,12.3,17.8,,1.9,1.0,2.8,.087,,-0.8,-0.5,-1.3,0.3,1994/1995
Gary Alexander,PF,24,TOT,11,55,8.6,.529,.000,.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-6.6,-1.5,-8.1,-0.1,1994/1995
Gary Alexander,PF,24,MIA,4,12,0.8,.347,.000,1.000,9.4,19.0,14.2,11.5,0.0,0.0,25.8,13.9,,0.0,0.0,0.0,-0.090,,-7.8,-2.1,-10.0,0.0,1994/1995
Gary Alexander,PF,24,CLE,7,43,10.7,.564,.000,.583,16.2,16.2,16.2,3.7,3.7,0.0,31.7,23.0,,-0.1,0.1,0.0,-0.015,,-6.3,-1.4,-7.6,-0.1,1994/1995
Victor Alexander,C,24,GSW,69,1318,14.0,.539,.026,.257,9.5,15.7,12.6,7.3,1.0,1.5,13.3,20.2,,1.1,1.1,2.3,.083,,-1.1,-0.9,-2.1,0.0,1994/1995
Eric Anderson,PF,23,NYK,11,39,15.2,.453,.118,.824,17.8,31.3,24.7,8.5,0.0,1.8,7.9,28.3,,0.0,0.1,0.1,.126,,-3.4,-1.7,-5.1,0.0,1994/1995
Greg Anderson,PF,29,DET,77,1624,14.6,.561,.008,.416,12.3,26.9,19.5,4.6,1.7,2.7,17.7,14.3,,1.4,2.0,3.4,.101,,-1.7,0.1,-1.6,0.2,1994/1995
Kenny Anderson,PG,23,NJN,82,3135,18.2,.491,.096,.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,,4.3,3.2,7.5,.114,,2.5,-0.1,2.4,3.4,1994/1995
Nick Anderson,SG,26,ORL,81,2811,16.9,.549,.298,.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,,4.6,3.0,7.6,.129,,2.0,0.6,2.5,3.2,1994/1995
Ron Anderson,SF,35,TOT,21,356,9.9,.499,.302,.267,4.9,11.8,8.3,6.8,1.1,0.5,9.4,12.7,,0.3,0.2,0.5,.061,,-1.4,-1.3,-2.7,-0.1,1994/1995
Ron Anderson,SF,35,NJN,11,176,9.5,.456,.279,.279,4.7,11.0,7.8,4.8,1.4,0.7,2.0,11.8,,0.2,0.2,0.3,.090,,-1.9,0.0,-1.9,0.0,1994/1995
Ron Anderson,SF,35,WSB,10,180,10.2,.543,.326,.256,5.1,12.6,8.8,8.7,0.8,0.3,15.8,13.6,,0.1,0.0,0.1,.033,,-0.9,-2.5,-3.4,-0.1,1994/1995
Willie Anderson,SG,27,SAS,80,2488,14.2,.523,.081,.204,3.2,7.5,5.5,21.6,1.5,1.2,14.4,19.2,,3.2,2.3,5.6,.107,,0.2,0.1,0.3,1.4,1994/1995
Greg Anthony,PG,26,NYK,80,1994,13.0,.487,.280,.294,2.5,8.1,5.4,27.3,3.0,0.5,16.5,17.0,,1.6,3.9,5.5,.132,,-0.8,2.4,1.6,1.8,1994/1995
B.J. Armstrong,PG,26,CHI,82,2770,14.5,.547,.134,.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,,4.9,2.6,7.5,.130,,0.3,-0.4,-0.1,1.3,1994/1995
Vincent Askew,SG,27,SEA,80,1690,15.9,.551,.055,.372,4.2,8.7,6.5,16.8,2.2,0.8,9.6,18.5,,3.9,2.1,6.0,.169,,1.1,0.7,1.8,1.6,1994/1995
Keith Askins,SF,26,MIA,37,319,8.2,.460,.239,.114,11.7,17.5,14.6,5.9,1.8,0.2,18.5,15.3,,-0.1,0.4,0.3,.044,,-4.2,-0.4,-4.6,-0.2,1994/1995
Stacey Augmon,SG,25,ATL,82,2605,17.9,.576,.008,.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,,5.7,4.0,9.7,.179,,1.3,1.4,2.7,3.1,1994/1995
Isaac Austin,C,24,PHI,14,201,14.1,.473,.015,.348,13.6,24.1,18.8,13.2,1.2,3.0,18.3,20.1,,0.0,0.2,0.2,.040,,-2.9,-1.2,-4.2,-0.1,1994/1995
Anthony Avent,PF,24,TOT,74,1371,9.2,.430,.000,.309,11.7,16.4,14.0,6.8,1.2,1.5,15.8,16.9,,-0.6,1.0,0.4,.014,,-3.7,-1.4,-5.1,-1.1,1994/1995
Anthony Avent,PF,24,MIL,33,695,11.3,.466,.000,.346,9.4,16.5,12.7,7.4,1.2,1.9,14.1,19.0,,-0.1,0.4,0.3,.022,,-2.8,-1.5,-4.3,-0.4,1994/1995
Anthony Avent,PF,24,ORL,41,676,7.1,.380,.000,.259,14.1,16.4,15.3,6.2,1.3,1.0,18.2,14.6,,-0.5,0.6,0.1,.006,,-4.6,-1.4,-6.0,-0.7,1994/1995
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,1994/1995
John Bagley,PG,33,ATL,3,13,7.6,.347,.000,1.000,0.0,8.5,4.2,28.1,0.0,0.0,0.0,9.5,,0.0,0.0,0.0,.105,,-5.4,-1.4,-6.8,0.0,1994/1995
Thurl Bailey,PF,32,MIN,79,1297,15.2,.560,.004,.327,6.1,13.2,9.7,7.2,0.8,2.9,10.0,19.5,,1.9,0.7,2.6,.097,,0.5,-0.8,-0.3,0.6,1994/1995
Vin Baker,C,22,MIL,82,2560,16.1,.526,.006,.473,11.8,16.3,13.9,10.6,1.2,3.0,13.4,20.5,,2.6,1.7,4.4,.082,,0.0,-1.1,-1.2,0.5,1994/1995
Charles Barkley*,PF,30,PHO,65,2298,22.8,.563,.170,.432,9.8,25.6,17.8,20.0,2.2,1.0,14.2,26.5,,5.6,3.3,8.8,.185,,4.5,0.7,5.2,4.2,1994/1995
Dana Barros,PG,26,PHI,81,2519,16.0,.571,.403,.165,1.2,7.3,4.3,27.2,2.1,0.1,15.1,19.1,,3.9,0.8,4.7,.089,,1.7,-1.1,0.6,1.7,1994/1995
Jon Barry,SG,24,MIL,72,1242,14.6,.511,.301,.319,3.2,10.8,6.8,21.0,4.2,0.9,16.0,18.1,,0.8,1.3,2.1,.080,,-1.2,1.8,0.6,0.8,1994/1995
John Battle,SG,31,CLE,51,814,12.2,.535,.070,.355,1.0,4.6,2.8,16.2,1.4,0.1,11.5,19.6,,0.9,0.5,1.4,.084,,-1.7,-1.1,-2.7,-0.1,1994/1995
Benoit Benjamin,C,29,NJN,77,1817,14.2,.525,.000,.363,7.7,21.5,14.5,3.8,1.0,3.1,12.4,18.1,,1.4,2.6,4.1,.107,,-2.0,0.0,-2.1,0.0,1994/1995
Tony Bennett,PG,24,CHH,74,983,9.9,.460,.285,.057,1.9,8.1,5.1,22.2,2.0,0.1,12.9,13.4,,0.5,0.5,0.9,.045,,-1.9,-0.2,-2.1,0.0,1994/1995
David Benoit,SF,25,UTA,55,1070,10.9,.448,.163,.244,9.7,18.2,14.0,3.2,1.1,2.4,8.5,18.1,,0.1,1.5,1.6,.072,,-2.4,-1.1,-3.5,-0.4,1994/1995
Rolando Blackman,SG,34,NYK,55,969,11.3,.510,.228,.144,2.7,8.0,5.4,12.7,1.3,0.4,10.1,19.7,,0.9,1.5,2.4,.118,,-1.8,0.4,-1.5,0.1,1994/1995
Mookie Blaylock,PG,26,ATL,81,2915,19.6,.487,.316,.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,,4.9,5.3,10.2,.168,,3.4,2.3,5.7,5.7,1994/1995
Corie Blount,PF,25,CHI,67,690,12.3,.478,.000,.431,12.9,20.0,16.5,11.4,1.4,3.3,20.1,16.6,,0.0,1.2,1.2,.085,,-3.2,1.0,-2.3,0.0,1994/1995
