Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
Alaa Abdelnaby,PF,25,13,0,12.2,1.8,4.2,.436,0.0,0.0,0,1.8,4.2,.436,.436,1.2,1.9,.640,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9,1994/1995,BOS,6-10,240,3,9.2,.485,.000,2.7,0.6,1.2,20.5,22.6,-0.2,-0.1,-0.032,-7.4,-5.3,-0.2,16.3
Mahmoud Abdul-Rauf,PG,24,80,78,32.7,7.4,16.0,.460,0.5,1.7,.316,6.8,14.3,.476,.476,2.7,2.9,.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0,1994/1995,DEN,6-1,162,3,16.7,.521,.104,24.1,1.6,0.2,9.9,24.9,4.4,6.8,.125,0.8,1.5,1.9,3.6
Michael Adams,PG,31,70,67,33.4,4.1,10.0,.408,0.8,2.7,.288,3.3,7.2,.454,.448,3.2,3.9,.830,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2.0,12.1,1994/1995,WSB,5-10,162,8,14.2,.520,.274,29.8,2.1,0.2,17.0,18.1,2.9,3.1,.063,-1.0,0.5,0.6,4.6
Mark Aguirre,SF,34,39,0,22.0,4.2,8.9,.468,0.9,2.4,.398,3.2,6.5,.494,.522,1.3,1.8,.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6,1994/1995,LAC,6-6,232,12,13.1,.544,.267,18.5,1.2,0.6,15.6,21.6,0.6,0.9,.050,-1.8,-0.5,0.0,7.2
Danny Ainge,SG,34,68,1,22.9,3.3,7.9,.417,1.2,3.6,.328,2.1,4.3,.491,.492,1.1,1.4,.830,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9,1994/1995,PHO,6-5,185,12,11.8,.524,.454,15.9,1.8,0.3,12.3,17.8,1.9,2.8,.087,-1.3,-0.8,0.3,4.7
Gary Alexander,PF,24,4,0,3.0,0.3,0.5,.500,0.0,0.0,0,0.3,0.5,.500,.500,0.0,0.5,.000,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.8,0.5,1994/1995,MIA,6-7,240,R,0.8,.347,.000,11.5,0.0,0.0,25.8,13.9,0.0,0.0,-0.090,-10.0,-7.8,0.0,14.2
Gary Alexander,PF,24,7,0,6.1,1.0,1.7,.583,0.0,0.0,0,1.0,1.7,.583,.583,0.4,1.0,.429,0.9,0.9,1.7,0.1,0.4,0.0,1.0,1.0,2.4,1994/1995,CLE,6-7,240,R,10.7,.564,.000,3.7,3.7,0.0,31.7,23.0,-0.1,0.0,-0.015,-7.6,-6.3,-0.1,16.2
Victor Alexander,C,24,69,39,19.1,3.9,7.3,.530,0.0,0.2,.154,3.8,7.1,.540,.532,1.0,1.9,.527,1.7,2.8,4.5,1.0,0.4,0.5,1.2,2.4,8.7,1994/1995,GSW,6-9,265,2,14.0,.539,.026,7.3,1.0,1.5,13.3,20.2,1.1,2.3,.083,-2.1,-1.1,0.0,12.6
Eric Anderson,PF,23,11,0,3.5,0.6,1.5,.412,0.2,0.2,1.000,0.5,1.4,.333,.471,0.5,1.3,.357,0.5,1.0,1.5,0.2,0.0,0.1,0.2,0.8,1.9,1994/1995,NYK,6-9,220,1,15.2,.453,.118,8.5,0.0,1.8,7.9,28.3,0.0,0.1,.126,-5.1,-3.4,0.0,24.7
Greg Anderson,PF,29,77,47,21.1,2.6,4.8,.543,0.0,0.0,.333,2.6,4.8,.545,.545,1.1,2.0,.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4,1994/1995,DET,6-10,230,5,14.6,.561,.008,4.6,1.7,2.7,17.7,14.3,1.4,3.4,.101,-1.6,-1.7,0.2,19.5
